Bohemian Rhapsody,Queen
Hotel California,Eagles
Stairway to Heaven,Led Zeppelin
Imagine,John Lennon
Purple Haze,Jimi Hendrix
Yesterday,The Beatles
Like a Rolling Stone,Bob Dylan
Hey Jude,The Beatles
Smells Like Teen Spirit,Nirvana
Wonderwall,Oasis
Billie Jean,Michael Jackson
Thriller,Michael Jackson
Shape of You,Ed Sheeran
Despacito,Luis Fonsi ft. Daddy Yankee
Blinding Lights,The Weeknd
Dance Monkey,Tones and I
Satisfaction,The Rolling Stones
What's Going On,Marvin Gaye
Boogie Wonderland,Earth, Wind & Fire
